sentence_index,word_count,accuracy(1=correct),reverse_study_time/sec,user_id_from_FOWARD_study,r_user_id_from_REVERSE_study,perspective_ambiguity,block_ambiguity
61,12,1,3.536128,213,143,neither,1
1288,14,1,5.114845,71,179,ambiguous,1
336,30,0,15.155932,83,608,agent,1
1195,8,0,25.811355,77,312,ambiguous,4
656,6,1,12.823999,68,540,neither,1
333,9,1,5.83215,83,608,neither,1
8,10,0,13.004148,216,430,ambiguous,1
327,23,1,31.693243,83,148,agent,2
1164,7,1,6.252231,209,534,neither,1
868,20,1,11.275356,13,136,neither,1
1317,10,1,4.659477,918,283,neither,1
1440,11,1,3.31388,903,324,neither,1
202,21,0,14.748297,23,158,agent,1
390,7,1,7.08752,87,234,neither,1
399,20,1,7.483091,84,234,ambiguous,2
1383,18,0,9.645125,910,385,neither,1
1447,17,1,10.664235,900,325,ambiguous,1
22,9,1,6.692549,217,107,ambiguous,2
653,12,1,6.260311,68,480,ambiguous,1
1449,26,1,8.931946,900,325,ambiguous,2
100,21,1,7.461249,227,93,ambiguous,1
574,9,1,6.336427,30,330,agent,1
1337,15,0,18.192143,915,480,ambiguous,2
808,9,1,8.8085,95,350,agent,1
493,12,1,57.099959,243,133,ambiguous,2
453,21,1,35.275955,244,579,ambiguous,1
1004,9,1,13.434784,48,144,ambiguous,2
106,13,1,19.70451,227,579,neither,3
255,10,1,4.807847,8,130,neither,1
401,14,0,12.008539,84,97,neither,1
569,11,1,3.535983,30,489,neither,1
833,20,1,7.046061,221,494,neither,1
869,15,0,17.832205,12,266,neither,1
1148,7,1,4.868037,204,126,neither,1
443,11,1,39.986633,7,371,neither,1
1038,20,1,23.190447,41,406,ambiguous,5
408,8,0,17.604248,85,539,agent,2
202,21,1,108.817033,23,568,agent,1
758,14,1,7.585836,226,13,neither,1
671,8,1,9.764751,69,481,neither,1
547,22,0,34.02957,31,419,ambiguous,4
1129,6,1,2.395522,205,333,neither,1
598,11,1,3.631769,36,4,neither,1
255,10,1,5.187034,8,18,neither,1
780,28,1,24.871513,93,367,user,1
334,24,1,12.50221,83,129,ambiguous,1
786,17,1,11.135436,92,367,neither,1
675,9,0,18.479886,251,133,agent,1
1499,12,0,16.630381,905,284,agent,7
564,8,1,5.988648,30,91,neither,1
30,28,1,12.389075,215,307,agent,2
1087,13,1,10.684182,200,580,neither,1
1322,13,0,4.23219,918,397,neither,2
337,9,1,4.352965,80,364,neither,1
1542,16,0,19.917796,922,371,ambiguous,2
667,11,0,17.630571,69,388,agent,1
161,7,0,16.731072,20,381,ambiguous,3
1200,8,0,11.425154,77,448,ambiguous,2
